id;start_date;end_date;language
1;2022-06-04T11:56:37;2022-06-04T09:46:52;ENGLISH
2;2022-06-03T21:24:12;2022-06-04T06:49:41;FRENCH
3;2022-06-04T07:20:24;2022-06-03T19:25:32;SPANISH
4;2022-06-04T11:51:13;2022-06-03T17:17:32;FRENCH
5;2022-06-04T14:07:36;2022-06-03T22:26:34;ENGLISH
6;2022-06-03T23:38:19;2022-06-04T13:38:39;SPANISH
7;2022-06-04T07:42:07;2022-06-03T18:16:16;FRENCH
8;2022-06-03T22:08:00;2022-06-03T18:43:49;FRENCH
9;2022-06-03T22:59:38;2022-06-04T10:31:04;FRENCH
10;2022-06-03T18:56:36;2022-06-04T11:54:05;FRENCH
